# r2 direct single double poly
1.2425355018852959e+02 6.1259578432336174e-07 6.1407769200000005e-07 6.1407953768854511e-07 6.0732111251127208e-07
1.2748620253755230e+02 4.1056070947111292e-07 4.1184040400000000e-07 4.1184420738188187e-07 4.1039390907826601e-07
6.8481072787803257e+01 7.1903053221289426e-04 7.1916618600000005e-04 7.1917087837774900e-04 7.1903568459674716e-04
5.8936199837488743e+01 2.5401453308309565e-03 2.5405194600000001e-03 2.5405376429108876e-03 2.5401702150702477e-03
6.2465386354970633e+01 1.5882527868934597e-03 1.5885505099999999e-03 1.5885557942155212e-03 1.5882436418905854e-03
1.0935421323553999e+02 3.9130983015729224e-06 3.9195538200000003e-06 3.9195726392793084e-06 3.9211636249092408e-06
9.7899726894584788e+01 1.6498150961486039e-05 1.6514864899999999e-05 1.6514979093561670e-05 1.6532263543922454e-05
1.2860722527951393e+02 3.5741918904216393e-07 3.5861862099999999e-07 3.5861992234981111e-07 3.5880376003660785e-07
8.1145591112950484e+01 1.3917533161733140e-04 1.3918425200000001e-04 1.3918500952531213e-04 1.3908166147302836e-04
8.0974948900445639e+01 1.4226100404964593e-04 1.4232138300000001e-04 1.4232227719178283e-04 1.4217173156794161e-04
9.8873273123451327e+01 1.4591290039436415e-05 1.4608925100000000e-05 1.4608954203352320e-05 1.4628256394644268e-05
1.2561095316004986e+02 5.1779650608529365e-07 5.1910734600000000e-07 5.1911106124156123e-07 5.1469720574459643e-07
1.3167827951078718e+02 2.4458946002290414e-07 2.4551837899999999e-07 2.4551980109819336e-07 2.4870681158972729e-07
1.0576465882109173e+02 6.1340864891747106e-06 6.1368255000000000e-06 6.1368491024221001e-06 6.1577488850161899e-06
7.8707427147263431e+01 1.9047576399472112e-04 1.9056232099999999e-04 1.9056240154742280e-04 1.9047384557779878e-04
7.6007740933880555e+01 2.6993893971524713e-04 2.7005071799999998e-04 2.7005176102232279e-04 2.7009990299120545e-04
8.2838427276811188e+01 1.1199434000876256e-04 1.1201054400000000e-04 1.1201110786512794e-04 1.1187314521521330e-04
1.4328308084857159e+02 5.8625372722238918e-08 5.8928495900000001e-08 5.8928639665501986e-08 5.9299644306065602e-08
1.0334274599122030e+02 8.3132973615517417e-06 8.3251497899999997e-06 8.3252611618513466e-06 8.3462264228728600e-06
8.7453108053853398e+01 6.2076881982643203e-05 6.2112645500000000e-05 6.2112891808751552e-05 6.1981518229003996e-05
1.1147404897483804e+02 3.0023667564880862e-06 3.0076564600000000e-06 3.0076934396474809e-06 3.0024875741219148e-06
1.3464903933650839e+02 1.6955694378918567e-07 1.7024717600000001e-07 1.7024828042581499e-07 1.7314238220933476e-07
1.2277064810790100e+02 7.3621112464180105e-07 7.3735378699999999e-07 7.3735174734055108e-07 7.2870659550972050e-07
1.3900504566254239e+02 9.9173786730767898e-08 9.9369479799999999e-08 9.9370549953839489e-08 9.8450485097600904e-08
1.2520740871497895e+02 5.4432735028597338e-07 5.4436907199999997e-07 5.4437562964592407e-07 5.4056789622336510e-07
1.3680266018682772e+02 1.3004746518582272e-07 1.3043900500000001e-07 1.3043876045762736e-07 1.3072073556941177e-07
1.2295970163720419e+02 7.1915323910520830e-07 7.2090017499999995e-07 7.2090453228182605e-07 7.1190947892318945e-07
8.5330561185832977e+01 8.1400940388531219e-05 8.1401180100000006e-05 8.1401543893658304e-05 8.1280304584652185e-05
9.7575700490005531e+01 1.7186965067577634e-05 1.7191510800000000e-05 1.7191587990149932e-05 1.7219648725586012e-05
9.3633606556381451e+01 2.8296802444525088e-05 2.8299880800000001e-05 2.8300234105668766e-05 2.8297326934989542e-05
1.4264907027176693e+02 6.3371691566387226e-08 6.3607331000000005e-08 6.3608065677535679e-08 6.3975576836128312e-08
1.0221834386013010e+02 9.5753105553189578e-06 9.5862806099999998e-06 9.5862833150760887e-06 9.6112798928515986e-06
8.5386509163338232e+01 8.0820833045391460e-05 8.0837147799999994e-05 8.0837083653603886e-05 8.0700978287495673e-05
1.1016775146994263e+02 3.5346353546979815e-06 3.5410666899999999e-06 3.5410636036707041e-06 3.5394516544329235e-06
1.2879934049032988e+02 3.4903156088434299e-07 3.5022864599999999e-07 3.5023402288440310e-07 3.5066005921180476e-07
1.2721528458832566e+02 4.2455223927024130e-07 4.2593057999999999e-07 4.2593260764021951e-07 4.2397505239932798e-07
2.7063957905946200e+01 2.3525660049391411e-01 2.3525761100000001e-01 2.3525797351005492e-01 2.3525512218475342e-01
3.6138959489293462e+01 5.9935231387953695e-02 5.9936013099999998e-02 5.9936134893425350e-02 5.9935074299573898e-02
2.2106964911338334e+01 5.2342338468290772e-01 5.2342235999999998e-01 5.2342380644617970e-01 5.2342450618743896e-01
4.1859602163363206e+01 2.6376433973773764e-02 2.6376966400000000e-02 2.6377075245567462e-02 2.6376537978649139e-02
4.6454487511560387e+01 1.3861366077630093e-02 1.3861333999999999e-02 1.3861393696437137e-02 1.3861313462257385e-02
3.6288540894215565e+01 5.8643106912970103e-02 5.8644123399999998e-02 5.8644343895176060e-02 5.8642677962779999e-02
7.6072647693467189e+01 2.6768131840567864e-04 2.6779330800000002e-04 2.6779363079717822e-04 2.6783772045746446e-04
6.8537678612939061e+01 7.1371923473195211e-04 7.1377767000000000e-04 7.1378075286039773e-04 7.1372470119968057e-04
7.5165786431654993e+01 3.0103100879993062e-04 3.0112368400000001e-04 3.0112586829341743e-04 3.0124475597403944e-04
7.5475166825413673e+00 1.0041040069769119e+01 1.0040931700000000e+01 1.0041016605811832e+01 1.0041028022766113e+01
1.0856983656752497e+01 4.3949441308727693e+00 4.3948950800000004e+00 4.3949332164088997e+00 4.3949475288391113e+00
1.1242655805084262e+01 4.0311195514896889e+00 4.0311088599999998e+00 4.0311112593026488e+00 4.0311079025268555e+00
3.0045354634573890e+01 1.4844995692593557e-01 1.4845070199999999e-01 1.4845139620785980e-01 1.4845103025436401e-01
2.8286476004730957e+01 1.9447453424260039e-01 1.9447501000000000e-01 1.9447572011412387e-01 1.9447487592697144e-01
2.5740286090232246e+01 2.8990684430434094e-01 2.8990799200000000e-01 2.8990834922917491e-01 2.8990450501441956e-01
5.7235630874940853e+01 3.1895843503068101e-03 3.1899244099999999e-03 3.1899258357818904e-03 3.1896056607365608e-03
5.6234112063406791e+01 3.6489113369354560e-03 3.6491267400000000e-03 3.6491298293111897e-03 3.6489330232143402e-03
6.9873813137041523e+01 5.9926224849659237e-04 5.9934449400000000e-04 5.9934319108175579e-04 5.9913547011092305e-04
2.5373451219413642e+01 3.0735251774395672e-01 3.0734944300000000e-01 3.0735195582757130e-01 3.0735030770301819e-01
2.5633097975556574e+01 2.9489191049457525e-01 2.9489249000000001e-01 2.9489311072922725e-01 2.9488882422447205e-01
3.3093307417923334e+01 9.3841294849719467e-02 9.3841098200000000e-02 9.3841642172096312e-02 9.3839794397354126e-02
6.1810777655002518e+01 1.7323097468415994e-03 1.7326177300000000e-03 1.7326078733990553e-03 1.7323058564215899e-03
5.7877058586262422e+01 2.9267862605077042e-03 2.9268413800000001e-03 2.9268453435556904e-03 2.9268013313412666e-03
5.2267196930153702e+01 6.2397139861220426e-03 6.2402607900000004e-03 6.2402718444275604e-03 6.2396703287959099e-03
7.8040760788045873e+01 2.0757729108372022e-04 2.0766833000000000e-04 2.0766929891726597e-04 2.0760955521836877e-04
8.3295739093597959e+01 1.0561791974160699e-04 1.0567245800000000e-04 1.0567249842549746e-04 1.0549346188781783e-04
6.8188147145328060e+01 7.4716266091774187e-04 7.4719864600000005e-04 7.4720391103343217e-04 7.4716517701745033e-04
5.3851691083072197e+01 5.0325027616486663e-03 5.0326576500000003e-03 5.0326460434099258e-03 5.0325226038694382e-03
4.6548953743061873e+01 1.3680937946657921e-02 1.3681727499999999e-02 1.3681735002141128e-02 1.3680834323167801e-02
5.6687810115024682e+01 3.4330140301971610e-03 3.4332964600000001e-03 3.4333161786631559e-03 3.4330240450799465e-03
9.0515923718513321e+01 4.2031500960590635e-05 4.2059928100000002e-05 4.2059873541338817e-05 4.1986655560322106e-05
9.5964308848478993e+01 2.1067681971898204e-05 2.1071478799999999e-05 2.1071540679643020e-05 2.1090883819852024e-05
7.8564764963406105e+01 1.9401146172977077e-04 1.9409733099999999e-04 1.9409814639773421e-04 1.9401502504479140e-04
4.4555364188446589e+01 1.8056911554218437e-02 1.8057785900000001e-02 1.8057764612676615e-02 1.8056856468319893e-02
4.3876950835716094e+01 1.9855456908723236e-02 1.9856305800000001e-02 1.9856340794230612e-02 1.9855335354804993e-02
5.7297191189550944e+01 3.1633519661567315e-03 3.1634229200000002e-03 3.1634345671350231e-03 3.1633565668016672e-03
1.3507360098936545e+02 1.6091382363191376e-07 1.6147953399999999e-07 1.6147975016292804e-07 1.6409866532285378e-07
1.3770700106437414e+02 1.1634717700202120e-07 1.1681701300000000e-07 1.1681705460205177e-07 1.1510523734159506e-07
1.2824277906485909e+02 3.7389095467243996e-07 3.7459238900000001e-07 3.7459346717060789e-07 3.7479904335668834e-07
7.9953258886864049e+01 1.6223738417480321e-04 1.6226444900000001e-04 1.6226375748078613e-04 1.6218067321460694e-04
7.6163267768717404e+01 2.6456122276624503e-04 2.6464788200000002e-04 2.6464780444760772e-04 2.6471220189705491e-04
6.6165033833122308e+01 9.7449088751411477e-04 9.7458070399999996e-04 9.7458533503487108e-04 9.7447558073326945e-04
1.0158023762402118e+02 1.0375550960825619e-05 1.0389128900000000e-05 1.0389146369599846e-05 1.0412809388071764e-05
1.1164388651558865e+02 2.9393608829784052e-06 2.9429336300000000e-06 2.9429235525478818e-06 2.9389302653726190e-06
1.0339580348715882e+02 8.2580660115862605e-06 8.2697142700000001e-06 8.2697483800052579e-06 8.2908136391779408e-06
9.8009306480387636e+01 1.6271553183579968e-05 1.6290408899999999e-05 1.6290441807903052e-05 1.6306092220474966e-05
8.8759508221114004e+01 5.2556427030804445e-05 5.2583556699999997e-05 5.2583740977697617e-05 5.2482293540379032e-05
1.1234611325211795e+02 2.6926521350544775e-06 2.6980517300000001e-06 2.6980345755151506e-06 2.6900509055849398e-06
1.2214300749121408e+02 7.9581113837172997e-07 7.9777356600000005e-07 7.9777603231684262e-07 7.8747734733042307e-07
1.0771902523221152e+02 4.8016614095651685e-06 4.8033302800000000e-06 4.8033237977941095e-06 4.8167112254304811e-06
1.2229409432929154e+02 7.8103530791774578e-07 7.8247865099999998e-07 7.8247944187310450e-07 7.7289911359912367e-07
1.1780510576667967e+02 1.3639844192919914e-06 1.3661507400000000e-06 1.3661554618963591e-06 1.3529411262425128e-06
1.0162041502969990e+02 1.0323235328788123e-05 1.0336283599999999e-05 1.0336237630293644e-05 1.0360427040723152e-05
1.3073090625219714e+02 2.7493519444433176e-07 2.7538078500000001e-07 2.7537924362702792e-07 2.7850279593621963e-07
6.9306790723857617e+01 6.4537144517640751e-04 6.4550293600000000e-04 6.4550178792985519e-04 6.4502004534006119e-04
7.5433200899666119e+01 2.9078185928512260e-04 2.9087890300000003e-04 2.9087858625380299e-04 2.9097983497194946e-04
5.7743497048075028e+01 2.9796266088306326e-03 2.9800455099999999e-03 2.9800528212966708e-03 2.9796557500958443e-03
1.3948789016187021e+02 9.3455980962709808e-08 9.3885020600000000e-08 9.3885379535564740e-08 9.3033484915849840e-08
1.3332573531395923e+02 1.9960307580606702e-07 2.0037826700000001e-07 2.0037874973234401e-07 2.0388820587413647e-07
1.2774791209713723e+02 3.9748457796366421e-07 3.9828879000000001e-07 3.9828915792679864e-07 3.9769122395227896e-07
1.2834003970048417e+02 3.6942193522648863e-07 3.7032199900000000e-07 3.7032169419966330e-07 3.7045742828922812e-07
1.1526001798214479e+02 1.8723525949157265e-06 1.8731532200000000e-06 1.8731537451357579e-06 1.8633562604009057e-06
1.2582623932472970e+02 5.0417791005538631e-07 5.0574982399999998e-07 5.0574998827633915e-07 5.0142728014179738e-07
1.2157607361985774e+02 8.5380395635589205e-07 8.5551585000000001e-07 8.5551350672479368e-07 8.4478722328640288e-07
1.3533618144427925e+02 1.5579105314441716e-07 1.5608424100000001e-07 1.5608369982285672e-07 1.5868742764268973e-07
1.2146077358145256e+02 8.6610811781630838e-07 8.6732029599999998e-07 8.6732180722356922e-07 8.5695825191578479e-07
1.0002770859261524e+02 1.2615356154657707e-05 1.2624471300000000e-05 1.2624453067764247e-05 1.2653682460950222e-05
8.7529041536362953e+01 6.1478666628863069e-05 6.1521655899999999e-05 6.1521915040994483e-05 6.1384744185488671e-05
9.3971552092011763e+01 2.7110816693823388e-05 2.7136544299999999e-05 2.7136660691717667e-05 2.7115229386254214e-05
6.5877315757941943e+01 1.0120916531518066e-03 1.0121925700000000e-03 1.0121993988973738e-03 1.0120732476934791e-03
5.1760876517163545e+01 6.6849374325151202e-03 6.6855312299999997e-03 6.6855377114373379e-03 6.6848932765424252e-03
6.8756132817068107e+01 6.9359193560405302e-04 6.9378246599999997e-04 6.9378676014913542e-04 6.9359940243884921e-04
1.2591581831194658e+02 4.9861784000264984e-07 5.0020725000000003e-07 5.0020328753252470e-07 4.9600879492572858e-07
1.1211320142494991e+02 2.7720816987269948e-06 2.7761307100000002e-06 2.7761345189013752e-06 2.7701753424480557e-06
1.1904753206873610e+02 1.1687651216786698e-06 1.1708410700000000e-06 1.1708382422519333e-06 1.1578059684325126e-06
1.1742912755380067e+02 1.4292876036033914e-06 1.4305716100000000e-06 1.4305772928572402e-06 1.4183385701471707e-06
1.3856941378762176e+02 1.0463324701698301e-07 1.0486952099999999e-07 1.0486988836342323e-07 1.0359583058061617e-07
1.1513082484181835e+02 1.9027304887405114e-06 1.9037105400000000e-06 1.9037096264024375e-06 1.8939165329356911e-06
1.0088329579460529e+02 1.1326729278418336e-05 1.1336012000000001e-05 1.1336054623504162e-05 1.1364810234226752e-05
9.1570034395320306e+01 3.6763352127916208e-05 3.6783494599999998e-05 3.6783601777308794e-05 3.6735065805260092e-05
9.0707252996666440e+01 4.1021710633958639e-05 4.1021725299999997e-05 4.1021891920825268e-05 4.0979703044285998e-05
1.1923509743116844e+02 1.1418378739706869e-06 1.1445646400000001e-06 1.1445751114433062e-06 1.1309471119602676e-06
1.3232955993725710e+02 2.2570111813095629e-07 2.2589016200000000e-07 2.2589147473697424e-07 2.3001399540589773e-07
1.1111076096230053e+02 3.1417355472166200e-06 3.1469460300000002e-06 3.1469421345068684e-06 3.1430984108737903e-06
1.0804142904229933e+02 4.6116980135719960e-06 4.6190443799999998e-06 4.6190833226791280e-06 4.6253467189671937e-06
1.2166246945137488e+02 8.4469951199780594e-07 8.4667300399999999e-07 8.4667685255264852e-07 8.3577612031149329e-07
1.0583434900604708e+02 6.0807143394798879e-06 6.0855904800000000e-06 6.0855440743178915e-06 6.1040923355903942e-06
1.3311695915053093e+02 2.0480922737402449e-07 2.0561225299999999e-07 2.0561361955737004e-07 2.0912993647925759e-07
1.2425370352711126e+02 6.1258414569384285e-07 6.1406188900000000e-07 6.1406579517852128e-07 6.0730513951057219e-07
1.4258444787662094e+02 6.3876616557114474e-08 6.4087217300000002e-08 6.4087444108725182e-08 6.4470604854705016e-08
1.1337070699756958e+02 2.3695298743329704e-06 2.3741933999999998e-06 2.3741856587558261e-06 2.3641734969714889e-06
7.3197546990721605e+01 3.8862083480250404e-04 3.8875354199999999e-04 3.8875491904016222e-04 3.8891076110303402e-04
8.7839200164469588e+01 5.9094962532284610e-05 5.9117828599999998e-05 5.9117766045704128e-05 5.9005957155022770e-05
6.6008577949089130e+01 9.9475824974417813e-04 9.9499395600000009e-04 9.9499767325186578e-04 9.9473900627344847e-04
5.2499392068923676e+01 6.0457909065166583e-03 6.0463310200000002e-03 6.0463651681304416e-03 6.0457657091319561e-03
5.2944431860183656e+01 5.6911398739086195e-03 5.6916526500000002e-03 5.6916897089433214e-03 5.6911376304924488e-03
6.0151102239979082e+01 2.1600742103810100e-03 2.1604315799999998e-03 2.1604344390014235e-03 2.1600811742246151e-03
1.2771744631352590e+02 3.9898501077835960e-07 3.9985690100000002e-07 3.9986193681700819e-07 3.9915576621751825e-07
1.2289136824256738e+02 7.2527250491835086e-07 7.2685349999999996e-07 7.2684337726713311e-07 7.1793823508414789e-07
1.2721623000140407e+02 4.2450259019542177e-07 4.2588811800000001e-07 4.2588332547050906e-07 4.2393364196868788e-07
1.3239897329566151e+02 2.2377641038263433e-07 2.2380659500000000e-07 2.2381025806488794e-07 2.2810048960764107e-07
1.1338526892282258e+02 2.3652302147516028e-06 2.3699431000000000e-06 2.3699370488858992e-06 2.3598390725965146e-06
1.0968082548795778e+02 3.7564900623901918e-06 3.7573615800000002e-06 3.7573515326699444e-06 3.7632194107573014e-06
1.2560955821536814e+02 5.1788594180408232e-07 5.1919181500000000e-07 5.1919517414522116e-07 5.1479446483426727e-07
1.3552245275503296e+02 1.5225657918532556e-07 1.5226605400000001e-07 1.5226767967711297e-07 1.5493230876018060e-07
1.3616589526832900e+02 1.4065505075822391e-07 1.4123386900000001e-07 1.4123397874398224e-07 1.4242716872558958e-07
1.4039448283925844e+02 8.3598554947509971e-08 8.3686984499999997e-08 8.3686985857308342e-08 8.3617507584676787e-08
1.2837866466605925e+02 3.6766207719445469e-07 3.6862243699999997e-07 3.6862484176566708e-07 3.6874044440082798e-07
1.4086661950180010e+02 7.8885319059598761e-08 7.9146637699999999e-08 7.9146737659770797e-08 7.9079548243043973e-08
1.1685686273210619e+02 1.5347663903920403e-06 1.5382629500000000e-06 1.5382616892133837e-06 1.5241115534081473e-06
1.2420630922070734e+02 6.1619204099969904e-07 6.1756355799999997e-07 6.1755628748264113e-07 6.1083716218490736e-07
1.4155286133600828e+02 7.2505985716171518e-08 7.2856977299999996e-08 7.2857881058735324e-08 7.2901322312191041e-08
1.2823155519594792e+02 3.7441016088437929e-07 3.7508405599999999e-07 3.7508510532318652e-07 3.7529977703343320e-07
1.3805976533124101e+02 1.1140442834156794e-07 1.1191308900000000e-07 1.1191141726582720e-07 1.0930405380804586e-07
1.2925141808913216e+02 3.3006556126069814e-07 3.3059728800000002e-07 3.3060309942561593e-07 3.3223480500055302e-07
1.3103335252794923e+02 2.6485753748149547e-07 2.6514868500000001e-07 2.6514633109165346e-07 2.6864330493481248e-07
1.3149955400701762e+02 2.5004496957703554e-07 2.5093581300000000e-07 2.5093817942526682e-07 2.5408800752302341e-07
1.4141349947515957e+02 7.3758188517430601e-08 7.4129893299999997e-08 7.4130009109317777e-08 7.4117032511367142e-08
1.4272080647339126e+02 6.2815872142928628e-08 6.3076193200000004e-08 6.3076390532694839e-08 6.3428970520362782e-08
9.5983147892641938e+01 2.1017560080410018e-05 2.1019628499999999e-05 2.1019383057015113e-05 2.1040883439127356e-05
9.3291777757880794e+01 2.9549626263774615e-05 2.9577950000000000e-05 2.9577919020584438e-05 2.9545897632488050e-05
8.7059494388355517e+01 6.5273252136905196e-05 6.5315180099999998e-05 6.5314962821879738e-05 6.5172680479008704e-05
2.9519818718167208e+01 1.6085280437733074e-01 1.6085441400000000e-01 1.6085384733334213e-01 1.6085387766361237e-01
2.8652315769737321e+01 1.8378597594417431e-01 1.8378545299999999e-01 1.8378611143017917e-01 1.8378604948520660e-01
2.2330240362273507e+01 5.0433318920045811e-01 5.0433319799999998e-01 5.0433350243180830e-01 5.0433546304702759e-01
5.6508438710056076e+01 3.5167692692161588e-03 3.5169597200000002e-03 3.5169798708167186e-03 3.5168160684406757e-03
4.8670526704721880e+01 1.0205674811947996e-02 1.0206317499999999e-02 1.0206285739361783e-02 1.0205619037151337e-02
5.6792670640291689e+01 3.3849952208629404e-03 3.3852229799999998e-03 3.3852295331396167e-03 3.3850208856165409e-03
5.1212724642529224e+01 7.2037008901027948e-03 7.2038443800000003e-03 7.2038100031575165e-03 7.2036846540868282e-03
5.9221738049585689e+01 2.4451005253945191e-03 2.4454861400000001e-03 2.4454764057111281e-03 2.4451233912259340e-03
4.0505233433209149e+01 3.1963931781957826e-02 3.1964659700000002e-02 3.1964913393793433e-02 3.1964182853698730e-02
9.1655067326410460e+01 3.6368567793332027e-05 3.6395995300000003e-05 3.6396196215563866e-05 3.6341996747069061e-05
7.7182808216431184e+01 2.3189150447065960e-04 2.3197286600000000e-04 2.3197130360804686e-04 2.3197545669972897e-04
9.7712381000821196e+01 1.6892946570633962e-05 1.6899921300000000e-05 1.6899980061101429e-05 1.6926293028518558e-05
7.4703379538177415e+01 3.1962374331089807e-04 3.1970924499999999e-04 3.1970748484356408e-04 3.1986457179300487e-04
6.1040442353562298e+01 1.9189630765325840e-03 1.9192284699999999e-03 1.9192277628665890e-03 1.9189662998542190e-03
7.3663019736956315e+01 3.6581818146537432e-04 3.6594769299999998e-04 3.6594769689749304e-04 3.6610057577490807e-04
5.5890595759282277e+01 3.8215486090843890e-03 3.8217508700000001e-03 3.8217417798968941e-03 3.8215825334191322e-03
5.7083882186277087e+01 3.2551989885774334e-03 3.2554431799999999e-03 3.2554673760933988e-03 3.2552378252148628e-03
5.5916015195714074e+01 3.8084931482221915e-03 3.8085202699999999e-03 3.8085301484006399e-03 3.8085249252617359e-03
3.7398950148156359e+01 4.9913166418944062e-02 4.9913026399999998e-02 4.9913281285497595e-02 4.9913074821233749e-02
4.7423747104822766e+01 1.2120430304295127e-02 1.2120650100000000e-02 1.2120666503178466e-02 1.2120353057980537e-02
2.9303899269430328e+01 1.6626207992712999e-01 1.6626271600000000e-01 1.6626267608163658e-01 1.6626301407814026e-01
3.7551589220583828e+01 4.8823371263704868e-02 4.8824317800000003e-02 4.8824147796213198e-02 4.8823423683643341e-02
3.1903407104250125e+01 1.1209658195219722e-01 1.1209721900000000e-01 1.1209687850757472e-01 1.1209654062986374e-01
3.0759453171142859e+01 1.3319201315290513e-01 1.3319332900000000e-01 1.3319331944490057e-01 1.3319279253482819e-01
8.2591755489911606e+01 1.1559370969656295e-04 1.1566079000000000e-04 1.1566159736769391e-04 1.1547541362233460e-04
9.3282378751161843e+01 2.9584852780501823e-05 2.9613367599999999e-05 2.9613165163523577e-05 2.9581002308987081e-05
9.2243801470023556e+01 3.3749947553377679e-05 3.3762295099999998e-05 3.3762099085107543e-05 3.3731968869687989e-05
6.8335383662811111e+01 7.3288549263779141e-04 7.3308002899999999e-04 7.3308149106909480e-04 7.3288602288812399e-04
5.8578408502425063e+01 2.6645708068528482e-03 2.6649420600000002e-03 2.6649226234977908e-03 2.6646084152162075e-03
8.2789233921490663e+01 1.1270300939100030e-04 1.1273793600000000e-04 1.1273700508961622e-04 1.1258279846515507e-04
